symbol,earning_date,expirt_date,time_difference,pre_earning_iv,post_earning_iv,iv_change,post_earning_vol
NVDA,2025-05-28,2025-07-18,51,0.49268085,0.42822838,-0.06445246999999998,0.26008483338528
NVDA,2025-05-28,2025-07-03,36,0.4918264,0.4107725,-0.08105390000000001,0.26008483338528
NVDA,2025-05-28,2025-06-27,30,0.50842774,0.40588972,-0.10253802000000001,0.26008483338528
NVDA,2025-05-28,2025-06-20,23,0.514043,0.3989318,-0.11511120000000002,0.268042443095982
NVDA,2025-05-28,2025-06-13,16,0.5544478,0.40064076,-0.15380704000000006,0.29032606142152634
NVDA,2025-05-28,2025-06-06,9,0.63245,0.39649042,-0.23595957999999995,0.3323574378706232
NVDA,2025-05-28,2025-05-30,2,0.9379889,0.35840484,-0.57958406,0.49213489324459214
MSFT,2025-04-30,2025-05-16,16,0.30927205,0.24494164,-0.06433041000000003,0.32907253932337494
MSFT,2025-04-30,2025-05-09,9,0.34955484,0.25147232,-0.09808251999999995,0.4098332463232997
MSFT,2025-04-30,2025-05-02,2,0.51050293,0.26245853,-0.2480444,0.576133222934776
AAPL,2025-05-01,2025-06-20,50,0.34265795,0.31122515,-0.03143279999999998,0.28419975470100617
AAPL,2025-05-01,2025-06-06,36,0.34778485,0.30640343,-0.04138142,0.3069367882106037
AAPL,2025-05-01,2025-05-30,29,0.39038697,0.3023141,-0.08807287000000003,0.33294431556735155
AAPL,2025-05-01,2025-05-23,22,0.36939108,0.3072579,-0.06213318000000001,0.3523724407130464
AAPL,2025-05-01,2025-05-16,15,0.38147593,0.30579308,-0.07568285000000002,0.3877886712718924
AAPL,2025-05-01,2025-05-09,8,0.44092357,0.30713582,-0.13378774999999998,0.29183786106495146
AAPL,2025-05-01,2025-05-02,1,0.68432933,0.4072325,-0.27709682999999996,0.470651197936387
AMZN,2025-05-01,2025-06-20,50,0.4042418,0.35272864,-0.05151316,0.3008364452740708
AMZN,2025-05-01,2025-06-06,36,0.4289608,0.34790692,-0.08105387999999997,0.325458080170862
AMZN,2025-05-01,2025-05-30,29,0.43945873,0.34351242,-0.09594631000000003,0.3480166484394996
AMZN,2025-05-01,2025-05-23,22,0.46771774,0.3545597,-0.11315804000000002,0.37702382440970306
AMZN,2025-05-01,2025-05-16,15,0.50244635,0.34180346,-0.16064289000000004,0.4267109389377392
AMZN,2025-05-01,2025-05-09,8,0.59839267,0.3298407,-0.26855197,0.2757028470402942
AMZN,2025-05-01,2025-05-02,1,1.0512743,0.12500875,-0.92626555,0.35939815008167497
META,2025-04-30,2025-05-16,16,0.5058643,0.37683728,-0.12902702000000005,0.45540192277210717
META,2025-04-30,2025-05-09,9,0.58417165,0.3820252,-0.20214645000000003,0.37135649850685537
